employee_id,department,salary,hire_date,termination_date
1,Engineering,100000,2010-01-01,
2,Sales,80000,2011-05-01,2013-06-30
3,Engineering,90000,2012-03-15,
4,Marketing,75000,2010-06-01,2015-02-28
5,Engineering,110000,2013-02-01,
6,Marketing,80000,2012-09-15,2014-11-30
7,Engineering,95000,2014-05-01,
8,Engineering,85000,2015-01-01,
9,Sales,70000,2014-06-15,2017-09-30
10,Marketing,90000,2016-01-01,
11,Sales,75000,2017-01-01,
12,Marketing,85000,2018-01-01,
13,Engineering,120000,2019-01-01,
14,Sales,70000,2020-01-01,